face_images_1,face_images_2,pos_1,pos_2,trials_30.thisRepN,trials_30.thisTrialN,trials_30.thisN,trials_30.thisIndex,main_1.thisRepN,main_1.thisTrialN,main_1.thisN,main_1.thisIndex,main_2.thisRepN,main_2.thisTrialN,main_2.thisN,main_2.thisIndex,main_3.thisRepN,main_3.thisTrialN,main_3.thisN,main_3.thisIndex,main_4.thisRepN,main_4.thisTrialN,main_4.thisN,main_4.thisIndex,thisRow.t,notes,Instruction.started,text_Welcome.started,key_space.started,Instruction.stopped,key_space.keys,key_space.rt,key_space.duration,gap.started,text_gap.started,gap.stopped,plus.started,plus__.started,plus.stopped,trial_30.started,image_1.started,image_2.started,trial_resp.started,trial_30.stopped,trial_resp.keys,trial_resp.rt,trial_resp.duration,image_1.stopped,image_2.stopped,Instruction_1.started,text_instruct.started,space_resp.started,Instruction_1.stopped,space_resp.keys,space_resp.rt,space_resp.duration,gap_1.started,gap__1.started,gap_1.stopped,plus_1.started,plus__1.started,plus_1.stopped,Block_1.started,image_1_set_1.started,image_2_set_1.started,resp_1.started,Block_1.stopped,resp_1.keys,resp_1.rt,resp_1.duration,image_1_set_1.stopped,image_2_set_1.stopped,Instuct_2.started,text_block2.started,space_resp_2.started,Instuct_2.stopped,space_resp_2.keys,space_resp_2.rt,space_resp_2.duration,gap_2.started,gap__2.started,gap_2.stopped,plus_2.started,plus__2.started,plus_2.stopped,Block_2.started,image_1_set_2.started,image_2_set_2.started,resp_2.started,image_1_set_2.stopped,image_2_set_2.stopped,Block_2.stopped,resp_2.keys,resp_2.rt,resp_2.duration,Instruct_3.started,text_block3.started,space_resp_3.started,Instruct_3.stopped,space_resp_3.keys,space_resp_3.rt,space_resp_3.duration,gap_3.started,gap__3.started,gap_3.stopped,plus_3.started,plus__3.started,plus_3.stopped,Block_3.started,image_1_set_3.started,image_2_set_3.started,resp_3.started,image_1_set_3.stopped,image_2_set_3.stopped,Block_3.stopped,resp_3.keys,resp_3.rt,resp_3.duration,Instruct_4.started,text_block4.started,space_resp_4.started,Instruct_4.stopped,space_resp_4.keys,space_resp_4.rt,space_resp_4.duration,gap_4.started,gap__4.started,gap_4.stopped,plus_4.started,plus___4.started,plus_4.stopped,Block_4.started,image_1_set_4.started,image_2_set_4.started,resp_4.started,image_1_set_4.stopped,image_2_set_4.stopped,Block_4.stopped,resp_4.keys,resp_4.rt,resp_4.duration,end.started,text_3.started,text_3.stopped,end.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
images/18n.tiff,images/18n.tiff,"(0.3, 0.2)","(-0.3, 0.2)",0,19,19,15,,,,,,,,,,,,,,,,,30.821985900009167,,,,,,,,,30.81101830000989,30.821985900009167,31.315378700004658,31.3154099000094,31.32876899999974,31.515254900004948,31.515284100009012,31.53316300000006,31.53316300000006,31.53316300000006,31.90259930001048,['m'],[0.3589005999965593],[None],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340808,001,2024-08-01_15h36.14.492,final,2024.1.5,None,2024-08-01 15h36.17.654286 +0530,
images/5n.tiff,images/10n.tiff,"(0.3, 0.2)","(-0.3, 0.2)",0,20,20,5,,,,,,,,,,,,,,,,,31.915015899998252,,,,,,,,,31.903011200003675,31.915015899998252,32.40823290000844,32.40833050000947,32.42132409999613,32.60822619999817,32.60825220000697,32.6291848999972,32.6291848999972,32.6291848999972,33.22324920000392,['m'],[0.590412000005017],[None],33.127916400000686,33.127916400000686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340808,001,2024-08-01_15h36.14.492,final,2024.1.5,None,2024-08-01 15h36.17.654286 +0530,
images/5n.tiff,images/5n.tiff,"(0.3, 0.2)","(-0.3, 0.2)",0,21,21,7,,,,,,,,,,,,,,,,,33.23459659999935,,,,,,,,,33.22421939999913,33.23459659999935,33.72807150000881,33.72811510000611,33.740936600006535,33.92813179999939,33.92816630000016,33.94875150000735,33.94875150000735,33.94875150000735,34.22254380000231,['m'],[0.2626989999989746],[None],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340808,001,2024-08-01_15h36.14.492,final,2024.1.5,None,2024-08-01 15h36.17.654286 +0530,
images/18n.tiff,images/18n.tiff,"(0.3, 0.2)","(-0.3, 0.2)",0,22,22,25,,,,,,,,,,,,,,,,,34.234204899999895,,,,,,,,,34.223310400004266,34.234204899999895,34.727490999997826,34.72751880000578,34.74057890000404,34.927516199997626,34.92758590000449,34.94664530000591,34.94664530000591,34.94664530000591,35.36859290000575,['m'],[0.4176338000106625],[None],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340808,001,2024-08-01_15h36.14.492,final,2024.1.5,None,2024-08-01 15h36.17.654286 +0530,
images/18n.tiff,images/4n.tiff,"(0.3, 0.2)","(-0.3, 0.2)",0,23,23,29,,,,,,,,,,,,,,,,,35.38036710000597,,,,,,,,,35.36914799999795,35.38036710000597,35.8739779000025,35.874010800005635,35.88718180000433,36.07406460000493,36.07409570000891,36.092597000009846,36.092597000009846,36.092597000009846,53.4026700000104,['z'],[17.302881599985994],[None],36.59342020000622,36.59342020000622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340808,001,2024-08-01_15h36.14.492,final,2024.1.5,None,2024-08-01 15h36.17.654286 +0530,
images/4n.tiff,images/4n.tiff,"(0.3, 0.2)","(-0.3, 0.2)",0,24,24,3,,,,,,,,,,,,,,,,,53.41443840001011,,,,,,,,,53.40331710000464,53.41443840001011,53.90805840000394,53.90809330000775,53.92129739999655,54.107960200009984,54.107993600002374,54.12810560000071,54.12810560000071,54.12810560000071,54.65480859999661,['m'],[0.5157486000098288],[None],54.62754300000961,54.62754300000961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340808,001,2024-08-01_15h36.14.492,final,2024.1.5,None,2024-08-01 15h36.17.654286 +0530,
images/10n.tiff,images/10n.tiff,"(0.3, 0.2)","(-0.3, 0.2)",0,25,25,24,,,,,,,,,,,,,,,,,54.667420500001754,,,,,,,,,54.65536129999964,54.667420500001754,55.16088710000622,55.160919900008594,55.173904700001,55.360745099998894,55.36077149999619,55.38015360001009,55.38015360001009,55.38015360001009,55.97400470000866,['z'],[0.583860700004152],[None],55.88046600000234,55.88046600000234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340808,001,2024-08-01_15h36.14.492,final,2024.1.5,None,2024-08-01 15h36.17.654286 +0530,
images/4n.tiff,images/5n.tiff,"(0.3, 0.2)","(-0.3, 0.2)",0,26,26,16,,,,,,,,,,,,,,,,,55.98689290000766,,,,,,,,,55.974312400008785,55.98689290000766,56.48031280000578,56.48039369999606,56.49344069999643,56.68041240000457,56.68044370001007,56.70063289999962,56.70063289999962,56.70063289999962,56.96131759999844,['m'],[0.24730859999544919],[None],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340808,001,2024-08-01_15h36.14.492,final,2024.1.5,None,2024-08-01 15h36.17.654286 +0530,
images/10n.tiff,images/18n.tiff,"(0.3, 0.2)","(-0.3, 0.2)",0,27,27,23,,,,,,,,,,,,,,,,,56.97329829999944,,,,,,,,,56.96212480000395,56.97329829999944,57.46669240000483,57.466720800002804,57.47987409999769,57.66657180000038,57.6665997000091,57.686867399999755,57.686867399999755,57.686867399999755,59.41379950000555,['m'],[1.7176236000086647],[None],58.18630580000172,58.18630580000172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340808,001,2024-08-01_15h36.14.492,final,2024.1.5,None,2024-08-01 15h36.17.654286 +0530,
images/4n.tiff,images/18n.tiff,"(0.3, 0.2)","(-0.3, 0.2)",0,28,28,2,,,,,,,,,,,,,,,,,59.425834900001064,,,,,,,,,59.4146189000021,59.425834900001064,59.919221000003745,59.91925110000011,59.932248099998105,60.11930800000846,60.11933980000322,60.13697730000422,60.13697730000422,60.13697730000422,60.480999799998244,['z'],[0.3389906999946106],[None],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340808,001,2024-08-01_15h36.14.492,final,2024.1.5,None,2024-08-01 15h36.17.654286 +0530,
