face_images_1,face_images_2,trial_resp.keys,trial_resp.rt,resp_1.keys,resp_1.rt,resp_2.keys,resp_2.rt,resp_3.keys,resp_3.rt,resp_4.keys,resp_4.rt
images/18n.tiff,images/18n.tiff,,,,,['z'],[1.3721433000000616],,,,
images/4n.tiff,images/4n.tiff,,,,,['z'],[1.8084676000000854],,,,
images/4n.tiff,images/18n.tiff,,,,,['m'],[1.3868815000000723],,,,
images/4n.tiff,images/4n.tiff,,,,,['z'],[1.1511194000001979],,,,
images/18n.tiff,images/18n.tiff,,,,,['z'],[1.3968747000001258],,,,
,,,,,,,,,,,
images/5n.tiff,images/10n.tiff,,,,,,,['m'],[2.3188340000001517],,
images/18n.tiff,images/18n.tiff,,,,,,,['z'],[2.099454899999955],,
images/10n.tiff,images/10n.tiff,,,,,,,['z'],[2.4383278000000246],,
images/5n.tiff,images/5n.tiff,,,,,,,['z'],[3.464084400000047],,
images/4n.tiff,images/4n.tiff,,,,,,,['z'],[1.7014882999999372],,
images/4n.tiff,images/4n.tiff,,,,,,,['z'],[1.5352596000000176],,
images/10n.tiff,images/10n.tiff,,,,,,,['z'],[1.4703386999999566],,
images/18n.tiff,images/18n.tiff,,,,,,,['z'],[2.2552883000000747],,
images/10n.tiff,images/5n.tiff,,,,,,,['m'],[2.8479039999999713],,
images/18n.tiff,images/4n.tiff,,,,,,,['z'],[1.9319072999999207],,
images/5n.tiff,images/5n.tiff,,,,,,,['z'],[2.09595719999993],,
images/4n.tiff,images/18n.tiff,,,,,,,['m'],[1.4859822999999324],,
images/10n.tiff,images/10n.tiff,,,,,,,['z'],[1.4645313000000897],,
images/18n.tiff,images/18n.tiff,,,,,,,['z'],[1.7295483000000331],,
images/4n.tiff,images/18n.tiff,,,,,,,['m'],[1.6046288000000004],,
images/18n.tiff,images/4n.tiff,,,,,,,['m'],[3.5198841999999786],,
images/5n.tiff,images/10n.tiff,,,,,,,['m'],[1.281251599999905],,
images/10n.tiff,images/5n.tiff,,,,,,,['m'],[1.5782838999998603],,
images/18n.tiff,images/18n.tiff,,,,,,,['z'],[1.374647399999958],,
images/4n.tiff,images/4n.tiff,,,,,,,['z'],[1.5551560999999765],,
images/5n.tiff,images/5n.tiff,,,,,,,['z'],[1.8567795999999817],,
images/10n.tiff,images/10n.tiff,,,,,,,['z'],[1.3383510000001024],,
images/4n.tiff,images/4n.tiff,,,,,,,['z'],[1.8410630999999285],,
images/5n.tiff,images/5n.tiff,,,,,,,['z'],[1.3777067999999417],,
images/18n.tiff,images/4n.tiff,,,,,,,['m'],[1.5972271000000546],,
images/5n.tiff,images/5n.tiff,,,,,,,['z'],[1.2668670000000475],,
images/18n.tiff,images/18n.tiff,,,,,,,['z'],[1.2345622000000276],,
images/10n.tiff,images/5n.tiff,,,,,,,['m'],[1.5004332999999406],,
images/5n.tiff,images/5n.tiff,,,,,,,['z'],[1.2435794000000442],,
images/10n.tiff,images/10n.tiff,,,,,,,['z'],[1.4793927999999141],,
images/18n.tiff,images/18n.tiff,,,,,,,['z'],[1.2858377000000019],,
images/4n.tiff,images/18n.tiff,,,,,,,['m'],[1.31670239999994],,
images/10n.tiff,images/10n.tiff,,,,,,,['z'],[1.2288673000000472],,
images/5n.tiff,images/10n.tiff,,,,,,,['m'],[1.2305538999999044],,
images/4n.tiff,images/4n.tiff,,,,,,,['m'],[4.431067399999847],,
images/4n.tiff,images/4n.tiff,,,,,,,['z'],[3.3059588999999505],,
images/10n.tiff,images/10n.tiff,,,,,,,['z'],[1.2336777999998958],,
images/4n.tiff,images/4n.tiff,,,,,,,['z'],[1.5645690999999715],,
images/18n.tiff,images/18n.tiff,,,,,,,['z'],[1.8817457999998624],,
images/4n.tiff,images/4n.tiff,,,,,,,['z'],[1.5193601999999373],,
images/5n.tiff,images/10n.tiff,,,,,,,['m'],[1.4324770000000626],,
images/5n.tiff,images/5n.tiff,,,,,,,['z'],[1.9142786999998407],,
images/10n.tiff,images/10n.tiff,,,,,,,['z'],[1.6821723000000475],,
images/18n.tiff,images/18n.tiff,,,,,,,['z'],[2.0012996999998904],,
images/5n.tiff,images/5n.tiff,,,,,,,['z'],[1.4453729000001658],,
images/4n.tiff,images/18n.tiff,,,,,,,['m'],[3.0548530999999457],,
images/10n.tiff,images/5n.tiff,,,,,,,['m'],[2.031567799999948],,
images/18n.tiff,images/4n.tiff,,,,,,,['m'],[1.546833099999958],,
